2026-03-13 14:22:08 | req=46722a2f | model=Qwen2.5-3B-Instruct | prefill=30tok | decode=5tok | latency=0.14s | energy=0.00J | cost=USD 0.00000000 | anomaly=0
2026-03-13 14:27:50 | req=f2e28242 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.25s | energy=60.15J | cost=USD 0.00000200 | anomaly=0
2026-03-13 14:27:53 | req=120d8c17 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.32s | energy=57.83J | cost=USD 0.00000193 | anomaly=0
2026-03-13 14:27:56 | req=b7dfb3c6 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.25s | energy=56.01J | cost=USD 0.00000187 | anomaly=0
2026-03-13 14:27:59 | req=d98573db | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=47tok | latency=1.24s | energy=51.75J | cost=USD 0.00000173 | anomaly=0
2026-03-13 14:28:01 | req=e9723526 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.34s | energy=60.35J | cost=USD 0.00000201 | anomaly=0
2026-03-13 14:28:13 | req=2bcdb655 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.68s | energy=90.40J | cost=USD 0.00000301 | anomaly=0
2026-03-13 14:28:20 | req=f7aca35d | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.81s | energy=90.85J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:28:28 | req=2480cdf5 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.77s | energy=90.95J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:28:38 | req=1a2efa8f | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=9.39s | energy=65.45J | cost=USD 0.00000218 | anomaly=0
2026-03-13 14:28:45 | req=768b2cd3 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.84s | energy=672.10J | cost=USD 0.00002240 | anomaly=0
2026-03-13 14:28:57 | req=51814333 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=8.32s | energy=88.31J | cost=USD 0.00000294 | anomaly=0
2026-03-13 14:29:05 | req=038a7dac | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.85s | energy=91.15J | cost=USD 0.00000304 | anomaly=0
2026-03-13 14:29:12 | req=a59a75a6 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.56s | energy=92.35J | cost=USD 0.00000308 | anomaly=0
2026-03-13 14:29:20 | req=429bb1ce | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.40s | energy=92.99J | cost=USD 0.00000310 | anomaly=0
2026-03-13 14:29:27 | req=2428c6c8 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.36s | energy=654.85J | cost=USD 0.00002183 | anomaly=0
2026-03-13 14:29:34 | req=17f8f9a6 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.65s | energy=91.82J | cost=USD 0.00000306 | anomaly=0
2026-03-13 14:29:38 | req=f695132c | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.99s | energy=82.43J | cost=USD 0.00000275 | anomaly=0
2026-03-13 14:29:42 | req=ca779cf3 | model=Qwen2.5-3B-Instruct | prefill=37tok | decode=150tok | latency=4.41s | energy=80.34J | cost=USD 0.00000268 | anomaly=0
2026-03-13 14:29:46 | req=e2a7e92a | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.72s | energy=89.13J | cost=USD 0.00000297 | anomaly=0
2026-03-13 14:29:49 | req=a08e8f64 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.65s | energy=326.61J | cost=USD 0.00001089 | anomaly=0
2026-03-13 14:29:56 | req=c39baae4 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=88.90J | cost=USD 0.00000296 | anomaly=0
2026-03-13 14:30:00 | req=30498f65 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=92.14J | cost=USD 0.00000307 | anomaly=0
2026-03-13 14:30:03 | req=8b88252a | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.67s | energy=92.32J | cost=USD 0.00000308 | anomaly=0
2026-03-13 14:30:07 | req=3f1a3db1 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=92.19J | cost=USD 0.00000307 | anomaly=0
2026-03-13 14:30:11 | req=a77d08a8 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.72s | energy=331.72J | cost=USD 0.00001106 | anomaly=0
2026-03-13 14:30:18 | req=24385752 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=28tok | latency=0.69s | energy=16.52J | cost=USD 0.00000055 | anomaly=0
2026-03-13 14:30:20 | req=e6cc50d4 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=29tok | latency=0.72s | energy=20.64J | cost=USD 0.00000069 | anomaly=0
2026-03-13 14:30:23 | req=937d8425 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=29tok | latency=0.72s | energy=19.40J | cost=USD 0.00000065 | anomaly=0
2026-03-13 14:30:25 | req=15ebaf69 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=10tok | latency=0.26s | energy=5.09J | cost=USD 0.00000017 | anomaly=0
2026-03-13 14:30:28 | req=fdd25d08 | model=Qwen2.5-3B-Instruct | prefill=31tok | decode=10tok | latency=0.26s | energy=5.74J | cost=USD 0.00000019 | anomaly=0
2026-03-13 14:30:38 | req=9045a269 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=85tok | latency=2.11s | energy=85.68J | cost=USD 0.00000286 | anomaly=0
2026-03-13 14:30:40 | req=eda593a1 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=97tok | latency=2.46s | energy=89.39J | cost=USD 0.00000298 | anomaly=0
2026-03-13 14:30:43 | req=a00b6f6b | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=103tok | latency=2.57s | energy=91.17J | cost=USD 0.00000304 | anomaly=0
2026-03-13 14:30:45 | req=88324072 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=101tok | latency=2.57s | energy=89.50J | cost=USD 0.00000298 | anomaly=0
2026-03-13 14:30:48 | req=8f174c00 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=102tok | latency=2.52s | energy=92.78J | cost=USD 0.00000309 | anomaly=0
2026-03-13 14:30:51 | req=24ad1305 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=109tok | latency=2.96s | energy=88.47J | cost=USD 0.00000295 | anomaly=0
2026-03-13 14:30:53 | req=752d6e57 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=87tok | latency=2.17s | energy=91.94J | cost=USD 0.00000306 | anomaly=0
2026-03-13 14:30:56 | req=ac243c86 | model=Qwen2.5-3B-Instruct | prefill=39tok | decode=110tok | latency=2.79s | energy=248.17J | cost=USD 0.00000827 | anomaly=0
2026-03-13 14:31:11 | req=9907ef2c | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=300tok | latency=7.53s | energy=89.61J | cost=USD 0.00000299 | anomaly=0
2026-03-13 14:31:12 | req=0e2fc6c6 | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=41tok | latency=1.01s | energy=91.56J | cost=USD 0.00000305 | anomaly=0
2026-03-13 14:31:14 | req=c9b22fed | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=53tok | latency=1.33s | energy=92.37J | cost=USD 0.00000308 | anomaly=0
2026-03-13 14:31:15 | req=dd84ce86 | model=Qwen2.5-3B-Instruct | prefill=836tok | decode=55tok | latency=1.44s | energy=130.70J | cost=USD 0.00000436 | anomaly=0
2026-03-13 14:31:24 | req=485f779f | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=10tok | latency=0.25s | energy=3.73J | cost=USD 0.00000012 | anomaly=0
2026-03-13 14:31:24 | req=7e26a40b | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.06s | energy=1.32J | cost=USD 0.00000004 | anomaly=0
2026-03-13 14:31:24 | req=fdbf8a95 | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.07s | energy=2.42J | cost=USD 0.00000008 | anomaly=0
2026-03-13 14:31:24 | req=27cea0d6 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.24s | energy=9.72J | cost=USD 0.00000032 | anomaly=0
2026-03-13 14:31:24 | req=fc4f8512 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.25s | energy=10.58J | cost=USD 0.00000035 | anomaly=0
2026-03-13 14:31:24 | req=bfa3e6bd | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.27s | energy=20.38J | cost=USD 0.00000068 | anomaly=0
2026-03-13 14:31:24 | req=23d0536e | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.06s | energy=6.84J | cost=USD 0.00000023 | anomaly=0
2026-03-13 14:31:25 | req=4a4f7419 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=10tok | latency=0.33s | energy=27.59J | cost=USD 0.00000092 | anomaly=0
2026-03-13 14:31:25 | req=3eebc59a | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.06s | energy=7.56J | cost=USD 0.00000025 | anomaly=0
2026-03-13 14:31:25 | req=165b6a81 | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.07s | energy=9.23J | cost=USD 0.00000031 | anomaly=0
2026-03-13 14:31:25 | req=d536c949 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.24s | energy=23.59J | cost=USD 0.00000079 | anomaly=0
2026-03-13 14:31:25 | req=7f803b92 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=10tok | latency=0.27s | energy=26.11J | cost=USD 0.00000087 | anomaly=0
2026-03-13 14:31:26 | req=2a0406b6 | model=Qwen2.5-3B-Instruct | prefill=34tok | decode=10tok | latency=0.25s | energy=24.47J | cost=USD 0.00000082 | anomaly=0
2026-03-13 14:31:26 | req=7a58db98 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=10tok | latency=0.25s | energy=23.68J | cost=USD 0.00000079 | anomaly=0
2026-03-13 14:31:26 | req=89fc29b0 | model=Qwen2.5-3B-Instruct | prefill=33tok | decode=2tok | latency=0.06s | energy=7.61J | cost=USD 0.00000025 | anomaly=0
2026-03-13 14:31:26 | req=f4a56c2b | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=9tok | latency=0.25s | energy=24.94J | cost=USD 0.00000083 | anomaly=0
2026-03-13 14:31:49 | req=97847615 | model=Qwen2.5-3B-Instruct | prefill=50tok | decode=500tok | latency=14.41s | energy=90.54J | cost=USD 0.00000302 | anomaly=0
2026-03-13 14:31:49 | req=3221aba6 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=14.41J | cost=USD 0.00000048 | anomaly=0
2026-03-13 14:31:49 | req=3b0731eb | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=15.27J | cost=USD 0.00000051 | anomaly=0
2026-03-13 14:31:49 | req=c2263b5f | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=15.27J | cost=USD 0.00000051 | anomaly=0
2026-03-13 14:31:49 | req=65da03bc | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.13s | energy=15.07J | cost=USD 0.00000050 | anomaly=0
2026-03-13 14:31:49 | req=7e6c8045 | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=15.80J | cost=USD 0.00000053 | anomaly=0
2026-03-13 14:31:50 | req=8fd90f0e | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=15.78J | cost=USD 0.00000053 | anomaly=0
2026-03-13 14:31:50 | req=8038d3fd | model=Qwen2.5-3B-Instruct | prefill=32tok | decode=5tok | latency=0.14s | energy=15.71J | cost=USD 0.00000052 | anomaly=0
2026-03-13 14:57:38 | req=61126def | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.26s | energy=63.86J | cost=USD 0.00000213 | anomaly=0
2026-03-13 14:57:40 | req=7a9a4a51 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=41tok | latency=1.03s | energy=39.47J | cost=USD 0.00000132 | anomaly=0
2026-03-13 14:57:43 | req=44a72a52 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.32s | energy=60.29J | cost=USD 0.00000201 | anomaly=0
2026-03-13 14:57:46 | req=0619f9d6 | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=50tok | latency=1.29s | energy=59.99J | cost=USD 0.00000200 | anomaly=0
2026-03-13 14:57:49 | req=30c04eac | model=Qwen2.5-3B-Instruct | prefill=437tok | decode=49tok | latency=1.26s | energy=58.35J | cost=USD 0.00000195 | anomaly=0
2026-03-13 14:58:00 | req=08b95243 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.81s | energy=89.94J | cost=USD 0.00000300 | anomaly=0
2026-03-13 14:58:08 | req=bf3c1de5 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=8.05s | energy=90.40J | cost=USD 0.00000301 | anomaly=0
2026-03-13 14:58:16 | req=39f2a8ff | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=8.06s | energy=86.12J | cost=USD 0.00000287 | anomaly=0
2026-03-13 14:58:24 | req=1d072ec7 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.93s | energy=88.01J | cost=USD 0.00000293 | anomaly=0
2026-03-13 14:58:31 | req=aa4a6b69 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.50s | energy=659.79J | cost=USD 0.00002199 | anomaly=0
2026-03-13 14:58:42 | req=a08de626 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.44s | energy=91.50J | cost=USD 0.00000305 | anomaly=0
2026-03-13 14:58:49 | req=a242316c | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.46s | energy=91.18J | cost=USD 0.00000304 | anomaly=0
2026-03-13 14:58:57 | req=aff82200 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.44s | energy=90.49J | cost=USD 0.00000302 | anomaly=0
2026-03-13 14:59:04 | req=81eba99c | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.46s | energy=91.05J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:12 | req=f1f02602 | model=Qwen2.5-3B-Instruct | prefill=38tok | decode=300tok | latency=7.44s | energy=654.75J | cost=USD 0.00002182 | anomaly=0
2026-03-13 14:59:18 | req=50370b86 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=90.95J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:22 | req=60c67581 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.73s | energy=90.94J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:26 | req=19c8b772 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.72s | energy=90.69J | cost=USD 0.00000302 | anomaly=0
2026-03-13 14:59:30 | req=692061e3 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.72s | energy=90.88J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:33 | req=930beb5b | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=327.48J | cost=USD 0.00001092 | anomaly=0
2026-03-13 14:59:40 | req=c1ff852a | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.73s | energy=90.69J | cost=USD 0.00000302 | anomaly=0
2026-03-13 14:59:44 | req=3da706b0 | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.73s | energy=90.99J | cost=USD 0.00000303 | anomaly=0
2026-03-13 14:59:48 | req=24d05deb | model=Qwen2.5-3B-Instruct | prefill=36tok | decode=150tok | latency=3.71s | energy=91.27J | cost=USD 0.00000304 | anomaly=0
